罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,自動車盗,岩手,葛巻,33022,岩手県,葛巻町,葛巻第４０地割,2021/11/2,16,一戸建住宅,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,北上,岩崎,32069,岩手県,北上市,和賀町岩崎３地割,2021/6/22,17,一戸建住宅,駐車（輪）場,キーあり,なし,特殊自動車
窃盗,自動車盗,北上,横川目,32069,岩手県,北上市,,2021/12/4,13,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,北上,横川目,32069,岩手県,北上市,和賀町竪川目２地割,2021/12/5,12,一戸建住宅,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,北上,藤根,32069,岩手県,北上市,和賀町長沼３地割,2021/11/5,7,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,一関,真滝,32093,岩手県,一関市,滝沢字木ノ川,2021/6/1,0,その他,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,一関,花泉交番,32093,岩手県,一関市,花泉町老松字四日市場,2021/6/21,10,その他,その他,キーあり,なし,特殊自動車
窃盗,自動車盗,千厩,大原,32093,岩手県,一関市,大東町大原字山口,2021/4/5,17,その他,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,宮古,磯鶏,32026,岩手県,宮古市,磯鶏１丁目,2020/11/15,13,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,久慈,大野,35076,岩手県,洋野町,大野第６地割,不明,不明,その他,その他,キーあり,なし,貨物自動車
